"Name","max_train_accuracy","fully_adjacent_last_layer","tree_depth","epoch"
"flowing-sweep-909","1","false","3","192"
"pretty-sweep-685","1","false","3","195"
"golden-sweep-1074","1","false","3","195"
"vivid-sweep-407","1","true","3","198"
"kind-sweep-296","1","false","3","199"
"feasible-sweep-75","1","true","3","204"
"fast-sweep-231","1","false","3","206"
"worthy-sweep-1181","1","false","3","220"
"vocal-sweep-889","1","false","3","226"
"spring-sweep-104","1","false","3","226"
"cerulean-sweep-164","1","true","3","232"
"royal-sweep-694","1","false","3","235"
"valiant-sweep-507","1","false","3","241"
"lyric-sweep-84","1","false","3","245"
"giddy-sweep-336","1","false","3","251"
"jolly-sweep-617","1","false","3","258"
"fiery-sweep-1002","1","false","3","278"
"deep-sweep-253","1","false","3","284"
"expert-sweep-1","1","false","3","349"
"radiant-sweep-500","1","false","3","358"
"pretty-sweep-168","1","false","3","572"
"jumping-sweep-349","0.99996875","false","3","178"
"kind-sweep-21","0.99996875","false","3","194"
"woven-sweep-557","0.99996875","false","3","229"
"ethereal-sweep-262","0.99996875","false","3","233"
"decent-sweep-334","0.99996875","false","3","371"
"worthy-sweep-29","0.99996875","false","3","439"
"bumbling-sweep-734","0.99996875","false","3","471"
"atomic-sweep-172","0.99996875","false","3","577"
"snowy-sweep-997","0.9999375","false","3","144"
"stellar-sweep-1134","0.9999375","false","3","144"
"still-sweep-100","0.9999375","false","3","155"
"peachy-sweep-1113","0.9999375","false","3","236"
"flowing-sweep-508","0.9999375","true","3","239"
"proud-sweep-316","0.9999375","false","3","244"
"azure-sweep-875","0.99990625","false","3","226"
"sweepy-sweep-366","0.99990625","false","3","203"
"quiet-sweep-593","0.9998125","false","3","313"
"snowy-sweep-1147","0.99978125","true","3","303"
"vague-sweep-683","0.99984375","false","3","328"
"wise-sweep-553","0.999875","false","3","556"
"crimson-sweep-59","0.99978125","false","3","691"
"faithful-sweep-1118","0.99965625","false","3","357"
"comfy-sweep-471","0.99975","false","3","704"
"still-sweep-463","0.99971875","false","3","430"
"ethereal-sweep-1085","0.99984375","false","3","505"
"balmy-sweep-378","0.9996875","false","3","742"
"vocal-sweep-759","0.99971875","false","3","257"
"fine-sweep-13","0.99953125","false","3","550"
"vital-sweep-631","0.9993125","false","3","348"
"radiant-sweep-38","0.9991875","false","3","757"
"devoted-sweep-748","0.99928125","false","3","955"
"fancy-sweep-1112","0.99928125","false","3","199"
"exalted-sweep-235","0.99903125","false","3","188"
"ethereal-sweep-257","0.99909375","false","3","663"
"cosmic-sweep-302","0.99896875","false","3","1112"
"sunny-sweep-589","0.998875","false","3","777"
"fiery-sweep-778","0.999","false","3","1246"
"flowing-sweep-475","0.9985625","false","3","276"
"ethereal-sweep-361","0.9984375","false","3","299"
"swept-sweep-441","0.99959375","false","3","232"
"different-sweep-653","0.99821875","false","3","1035"
"robust-sweep-532","0.9994375","false","3","244"
"fearless-sweep-143","0.9974375","false","3","279"
"major-sweep-324","0.9974375","false","3","808"
"sweet-sweep-195","0.9975625","false","3","708"
"eager-sweep-1071","0.99721875","false","3","837"
"dandy-sweep-795","0.997125","false","3","240"
"distinctive-sweep-384","0.99725","false","3","860"
"crimson-sweep-967","0.9974375","false","3","219"
"exalted-sweep-660","0.99709375","false","3","330"
"playful-sweep-770","0.9969375","false","3","928"
"generous-sweep-203","0.9975","false","3","203"
"smart-sweep-380","0.99671875","false","3","908"
"worthy-sweep-31","0.996875","false","3","357"
"solar-sweep-586","0.9961875","true","3","450"
"eternal-sweep-410","0.99690625","false","3","1136"
"electric-sweep-194","0.99571875","true","3","644"
"rural-sweep-87","0.99540625","false","3","647"
"lilac-sweep-142","0.995625","false","3","210"
"clean-sweep-1132","0.99503125","false","3","249"
"distinctive-sweep-236","0.99471875","true","3","1256"
"grateful-sweep-570","0.9945","false","3","1008"
"stilted-sweep-12","0.99428125","false","3","941"
"happy-sweep-691","0.994875","false","3","913"
"curious-sweep-719","0.9944375","false","3","1021"
"major-sweep-528","0.99353125","false","3","1276"
"northern-sweep-765","0.99334375","false","3","674"
"rose-sweep-1013","0.9924375","false","3","913"
"summer-sweep-472","0.991625","false","3","572"
"worthy-sweep-83","0.99365625","false","3","793"
"fanciful-sweep-945","0.997125","false","3","165"
"stilted-sweep-173","0.99365625","false","3","335"
"polar-sweep-703","0.9914375","false","3","913"
"different-sweep-900","0.99065625","true","3","1394"
"silvery-sweep-409","0.99009375","false","3","962"
"expert-sweep-650","0.98959375","false","3","678"
"sleek-sweep-988","0.999625","false","3","214"
"bumbling-sweep-269","0.98803125","false","3","1152"
"vocal-sweep-627","0.98759375","false","3","934"
"skilled-sweep-43","0.99196875","true","3","349"
"elated-sweep-544","0.99853125","false","3","180"
"fearless-sweep-666","0.99584375","false","3","191"
"young-sweep-481","0.9845","false","3","843"
"colorful-sweep-289","0.98353125","true","3","1081"
"swept-sweep-344","0.98296875","true","3","905"
"stoic-sweep-352","0.9823125","false","3","1090"
"sunny-sweep-248","0.98334375","false","3","862"
"frosty-sweep-969","0.9818125","false","3","1089"
"grateful-sweep-639","0.98175","true","3","439"
"earthy-sweep-1053","0.981375","false","3","845"
"balmy-sweep-641","0.97953125","false","3","1083"
"super-sweep-401","0.98815625","false","3","154"
"mild-sweep-568","0.991375","false","3","209"
"dandy-sweep-1003","0.97715625","false","3","842"
"rosy-sweep-465","0.97403125","false","3","1240"
"faithful-sweep-96","0.9738125","false","3","385"
"hearty-sweep-861","0.97203125","false","3","1515"
"smooth-sweep-359","0.972125","true","3","1469"
"robust-sweep-1049","0.9716875","true","3","504"
"amber-sweep-390","0.96803125","true","3","1171"
"stellar-sweep-810","0.96984375","true","3","987"
"honest-sweep-36","0.96725","false","3","622"
"swept-sweep-529","0.96340625","false","3","789"
"cosmic-sweep-516","0.998875","true","3","306"
"clear-sweep-313","0.99584375","false","3","326"
"legendary-sweep-462","0.9738125","true","3","265"
"lyric-sweep-835","0.99940625","false","3","182"
"wise-sweep-931","0.95509375","true","3","460"
"jumping-sweep-4","0.95503125","true","3","172"
"helpful-sweep-227","0.9459375","true","3","1682"
"electric-sweep-395","0.9985","true","3","227"
"young-sweep-446","0.94165625","true","3","3056"
"desert-sweep-283","0.946875","true","3","213"
"dutiful-sweep-1052","0.99565625","true","3","230"
"silvery-sweep-189","0.96971875","true","3","204"
"neat-sweep-413","0.92346875","true","3","1743"
"splendid-sweep-1011","0.92075","true","3","1108"
"dry-sweep-710","0.92134375","true","3","1156"
"copper-sweep-572","0.92534375","false","3","158"
"revived-sweep-58","0.9161875","false","3","1373"
"youthful-sweep-258","0.994625","true","3","228"
"pious-sweep-879","0.9738125","true","3","244"
"lilac-sweep-137","0.93759375","true","3","241"
"generous-sweep-419","0.90403125","true","3","209"
"rural-sweep-934","0.8903125","false","3","755"
"leafy-sweep-753","0.97665625","true","3","224"
"neat-sweep-661","0.8881875","false","3","319"
"azure-sweep-416","0.88853125","false","3","999"
"peach-sweep-1015","0.88603125","false","3","357"
"breezy-sweep-984","0.885875","false","3","621"
"rural-sweep-562","0.8865","false","3","876"
"cerulean-sweep-79","0.8859375","false","3","514"
"mild-sweep-426","0.9754375","true","3","211"
"pleasant-sweep-898","0.88471875","false","3","538"
"polished-sweep-95","0.88440625","false","3","517"
"glowing-sweep-801","0.88396875","false","3","625"
"super-sweep-457","0.883875","false","3","636"
"super-sweep-816","0.88409375","false","3","456"
"ethereal-sweep-1174","0.98440625","true","3","237"
"vibrant-sweep-478","0.88528125","false","3","159"
